Google Pixel 3a,4.5,30999,4GB,64GB,Qualcomm Snapdragon 670,8MP,12.2MP,Single SIM,No,\static\40k\pixel-3-google-original-.jpeg
OPPO Reno2 (Ocean,4.5,39990,8GB,128GB,Qualcomm Snapdragon 730G,16MP,48MP + 13MP + 8MP + 2MP,Dual SIM,Yes,\static\40k\reno2-128-c-oppo-8-original-.jpeg
iQOO 3 (Quantum,4.5,36490,12GB,128GB/256GB,Qualcomm Snapdragon 865,16MP,48MP + 13MP + 13MP + 2MP,Dual SIM,No,\static\40k\iqoo-3-i1927-original-.jpeg
Huawei P9 (Mystic,4.5,39999,3GB,32GB,HiSilicon Kirin 955,8MP,12MP + 8MP,Dual SIM,Yes,\static\40k\huawei-p9-original-.jpeg
Realme X2 Pro,4.5,31999,8GB/12GB,128GB/256GB,Qualcomm Snapdragon 855 Plus,16MP,64MP + 13MP + 8MP + 2MP,Dual SIM,No,\static\40k\realme-x2-pro--original-.jpeg
Redmi K20 Pro,4.5,31999,6GB/8GB/12GB,64GB/128GB/256GB,Qualcomm Snapdragon 855,20MP,48MP + 13MP + 8MP,Dual SIM,No,\static\40k\redmi-k20-pro.webp
OPPO Reno2 (Luminous,4.5,39990,8GB,128GB/256GB,Qualcomm Snapdragon 730G,16MP,48MP + 13MP + 8MP + 2MP,Dual SIM,Yes,\static\40k\reno2-128-oppo-8-original-(1).jpeg
Huawei P9 (Titanium,4.5,39999,3GB,32GB,HiSilicon Kirin 955,8MP,12MP + 8MP,Dual SIM,Yes,\static\40k\huawei-p9original-.jpeg
iQOO 3 (Tornado,4.5,36490,12GB,128GB/256GB,Qualcomm Snapdragon 865,16MP,48MP + 13MP + 13MP + 2MP,Dual SIM,No,\static\40k\iqoo-3-i1927-original-.jpeg
OPPO Reno4 Pro,4.4,34990,8GB/12GB,128GB/256GB,Qualcomm Snapdragon 765G,32MP + 2MP,48MP + 12MP + 13MP + 2MP,Dual SIM,No,\static\40k\oppo-reno4-pro--original-.jpeg
Samsung Galaxy A71,4.4,33990,8GB,128GB/256GB,Qualcomm Snapdragon 730,32MP,64MP + 12MP + 5MP + 5MP,Dual SIM,Yes,\static\40k\samsung-galaxy-a71-sm-original-.jpeg
Samsung Galaxy Note10,4.4,39999,8GB/12GB,256GB/512GB,Samsung Exynos 9825,10MP,12MP + 12MP + 16MP,Single SIM,No,\static\40k\samsung-galaxy-note10-.jpg
Samsung Galaxy A70,4.3,30900,6GB/8GB,128GB,Qualcomm Snapdragon 675,32MP,32MP + 8MP + 5MP,Dual SIM,Yes,\static\40k\samsung-galaxy-a70.jpeg
Samsung Galaxy A8,4.3,34999,6GB,64GB/128GB,Qualcomm Snapdragon 450,24MP,16MP + 8MP + 5MP,Dual SIM,Yes,\static\40k\samsung_galaxy_a8_.jpg
Vivo X50 (Frost,4.3,36490,8GB,128GB/256GB,Qualcomm Snapdragon 765G,32MP,48MP + 13MP + 8MP + 5MP,Dual SIM,Yes,\static\40k\vivo-x50-vivo-2004-original-.jpeg
Vivo X50 (Glaze,4.3,36490,8GB,128GB/256GB,Qualcomm Snapdragon 765G,32MP,48MP + 13MP + 8MP + 5MP,Dual SIM,Yes,\static\40k\vivo-x50-vivo-2004-original- (2).jpeg
Samsung Galaxy A70s,4.25,32050,6GB/8GB,128GB,Qualcomm Snapdragon 675,32MP,64MP + 8MP + 5MP + 5MP,Dual SIM,Yes,\static\40k\samsung-galaxy-a70soriginal-.jpeg
Realme X3 SuperZoom,4.2,32999,12GB,256GB,Qualcomm Snapdragon 855 Plus,32MP + 8MP,64MP + 13MP + 8MP + 2MP,Dual SIM,No,\static\40k\realme-x3-superzoom--original-.jpeg
"Vivo X21 (Black,",4.2,36990,6GB,64GB/128GB,Qualcomm Snapdragon 660,12MP + 5MP,12MP + 5MP,Dual SIM,No,\static\40k\vivo-x21-1725-1728-original-.jpeg
OPPO R17 Pro,4.1,31590,8GB,128GB/256GB,Qualcomm Snapdragon 710,25MP,12MP + 20MP,Dual SIM,No,\static\40k\oppo-r17-pro--original-.jpeg
"Nokia 9 (Blue,",3.8,31999,6GB,128GB,Qualcomm Snapdragon 845,3 x 20MP,12MP + 12MP + 13MP + 5MP,Hybrid Dual SIM,No,\static\40k\nokia-6-original-.jpeg
OPPO R17 (Neon,,36990,8GB,128GB/256GB,Qualcomm Snapdragon 670,25MP,16MP + 5MP,Dual SIM,No,\static\40k\oppo-r17-original-.jpeg
